X,Y
3173,0059
3401,0058
2209,1955
3448,0024
3417,1663
2928,0743
3167,1690
3128,1701
2165,0109
1676,0653
3260,0828
2174,0015
2171,0370
2182,0074
3006,1731
2954,1640
2801,0944
1510,0498
2161,0109
1485,0294
3250,0828
2364,0613
1593,1674
3248,0222
2016,0140
3610,0828
3497,0252
2942,1640
3200,1722
1977,0815
1442,1735
1021,0018
1516,1507
1802,1681
2552,0175
2987,0274
2877,0241
2877,1945
2887,0588
1860,1507
1335,0262
2593,1669
3141,0983
3016,1731
2962,1714
1628,0263
1368,0070
2067,0784
1790,1681
2181,0015
2545,0268
1760,0085
1558,0160
2939,0310
1624,0263
3078,0037
1381,1773
1275,0171
2226,1586
2565,0296
2015,0140
1738,0098
2698,1708
2734,1908
3308,0079
3029,1731
2187,0074
2119,0056
1077,0718
1397,0765
2933,1924
1336,0262
3554,0361
3365,0304
2309,1900
3083,0599
3346,0086
3229,0081
2590,1669
3570,0147
2207,1955
3563,0200
2592,1669
2932,1924
1786,1681
2769,0228
3034,1884
2995,0770
2378,1924
1980,1927
3205,1722
1967,1900
2068,0784
1884,0479
1743,0098
3611,0796
3101,0677
3004,1696
2481,0907
1199,0080
2002,0114
1536,1876
1905,0361
3583,0163
1287,0183
3487,1651
3540,1884
3618,0241
3618,1945
1230,1729
2382,0585
2604,0312
1599,0394
1725,0098
3609,0160
1666,0307
2914,1730
3555,0361
2609,0285
2328,0984
2804,0944
1329,0415
1165,1680
3403,0058
1099,1740
1681,0653
2423,1900
2055,0321
1792,1681
2200,1896
2200,0193
2901,1896
2901,0193
3461,0703
3077,0037
3025,1731
1202,0080
3305,0874
2169,0109
2408,1900
3362,0304
1724,0098
2868,0246
1508,0498
1365,0070
1679,0653
2814,1883
1552,0160
2780,0717
1626,0263
2946,1640
1387,1930
3008,1731
2353,0733
1260,0654
1163,1680
1465,0938
1836,0009
1573,1706
3021,1731
2668,0569
2035,0140
1675,0653
1885,0479
3226,0081
2120,0056
3626,0620
2202,1955
1873,1734
1086,0119
1849,0856
1639,1699
2670,0569
2530,0055
3225,0081
1532,1876
2727,1908
1283,0183
2936,0310
3174,0059
3165,1690
2231,0007
2584,0840
1807,1927
3063,0796
3612,0796
2471,0053
1177,1680
2613,0285
1250,1655
1713,0168
2204,1955
3162,1690
2839,0453
1793,1681
3341,1581
3027,1731
1874,1667
1289,0183
1151,1680
2986,0274
1409,1774
2480,0907
2718,1708
2338,0984
3432,1723
1673,0653
2337,0984
1369,0070
2282,0957
1047,0180
1048,0180
1815,0118
3017,0118
2703,1708
1625,0263
1350,0040
2832,0005
2977,0196
2201,1896
3444,0024
1428,0788
3282,0090
3280,0090
2149,0109
2286,0880
1889,0361
3168,1690
2450,0737
1206,0080
3309,0079
1067,1728
1356,0040
1137,0715
3553,0361
2967,1714
3275,0090
1173,1680
1903,0361
1938,0748
1483,0294
3073,0269
1238,0148
2116,0056
1020,0018
3170,1690
3529,0236
2151,0109
1541,0160
3066,0965
1179,1680
2322,1900
2990,0274
2118,0056
1040,0163
2054,0321
3062,1721
3213,0236
2524,0080
1143,1926
2307,1900
2694,1708
3475,1651
3483,1651
1912,0589
1770,0668
2838,0453
2242,0082
2059,0845
2453,0737
2888,0588
1259,0654
1843,0385
2395,0106
1966,1900
3561,0200
3538,0453
2859,0150
3459,0024
1643,1699
1838,0478
3436,0758
1704,0758
2555,0175
3009,1731
2648,0824
1079,0484
2295,0048
2243,0082
1364,0070
3506,1900
3070,0269
2444,0737
3135,0226
2098,0226
2156,0109
2278,1987
1848,0856
1769,0668
1544,0160
1674,0653
1960,0331
1441,1735
1147,1680
2044,1711
2537,1940
2537,1921
2537,0055
2731,1908
1200,0080
1987,0114
0392100000036479,0392
2536,0055
2705,1708
2133,1924
2950,1640
3440,1894
2525,0074
2240,0082
3508,1895
1188,1598
2040,0946
1986,1927
2679,1676
3458,0024
3301,0874
2477,1901
1947,0852
2909,1730
1953,0738
1468,0664
1826,0664
2885,0744
1006,0866
1879,0479
2220,1904
1850,1685
2173,0370
3067,0965
2191,0074
2177,0015
1862,1734
3039,1884
1645,1699
2494,0051
3509,1895
2375,1931
1198,0080
2463,0405
2150,0109
2786,0717
3179,0059
1184,1598
2011,0140
1148,1680
2514,1911
3266,1891
3548,0736
1716,0994
1320,0748
1954,0738
2858,0150
2940,1640
2115,0056
2027,0140
1123,0893
1623,0263
2766,0228
1402,0851
1797,1681
1520,1876
1115,0416
2033,0140
2913,1730
1810,0118
1598,0394
1311,0798
2022,0140
3347,0086
2697,1708
2482,0907
1955,0738
2612,0285
1528,1876
2400,1900
1065,1728
1486,0294
2792,0432
1767,0668
1931,0736
2972,1714
2683,1676
2486,1940
2486,1921
1611,0394
3374,0214
2335,0984
1782,1681
1796,1681
3306,0874
3208,1722
2513,1940
2513,1921
2513,0051
3504,1900
1263,0654
2392,0106
1427,0788
1649,1699
1204,0080
2176,0015
1382,1773
3294,0441
1347,0232
2900,0166
1324,1709
1138,0715
1318,1709
2468,0053
2493,1940
2493,1921
1795,1681
3526,1696
1416,1774
1023,0018
3551,0736
2168,0109
2069,0784
1881,0479
2373,1931
2681,1676
1638,1699
1742,0098
3068,0269
2884,0744
2511,1940
2511,1921
2511,0051
3276,0090
1273,0171
1158,1680
2155,0109
1269,0017
1170,1680
3207,1722
2897,0166
2025,0140
2517,1911
1677,0653
1104,0532
3424,1663
3052,0809
1925,0141
3357,0086
2329,0984
2817,1883
2844,0620
3007,1731
2999,1696
2903,0225
2512,0051
1183,1598
2164,0109
3269,1891
2172,0370
2722,1908
2287,0880
1783,1681
2515,1911
2217,0870
2622,0093
2652,0377
2354,0733
3091,0677
1189,1598
2344,0022
1583,1509
2575,1719
1981,1927
3355,0086
3409,0058
2549,0175
1458,1724
1310,0798
3293,0441
2472,0053
2478,1901
1997,0114
1253,0654
2881,0785
3361,0304
1756,0085
2367,1931
2643,0393
2234,0007
3332,0063
3433,1723
2104,0962
1062,0203
1764,0085
2874,0241
2874,1945
3375,0214
3359,0304
2496,0051
3237,0010
1529,1876
1500,0275
1868,1734
3502,0797
1091,0189
2431,0303
2752,0209
1377,0070
3420,1663
2502,0051
2824,0355
2166,0109
1609,0394
2073,0716
3076,0037
1337,0262
2758,0441
3568,0437
1581,1509
1268,0017
1739,0098
1180,1680
1779,1681
3342,0086
2179,0015
1315,1658
3429,1663
3416,1663
1911,0589
3272,1891
3598,0203
3527,0236
1548,0160
1788,1681
1647,1699
1352,0040
1152,1680
2235,0007
1999,0114
2720,1708
2066,1904
1741,0098
2975,0715
1129,0715
3604,0984
1207,0823
2548,0175
2923,1730
2096,0226
3061,1721
3519,0797
1443,1735
3492,0879
2163,0109
3431,1663
2637,0297
2930,0743
2485,0051
3290,0416
1119,0416
3035,1884
2715,1708
3451,0024
1961,0331
1880,0479
1226,1729
1963,0335
1736,0098
2145,0109
2440,0757
2762,0441
2474,0053
2559,0281
1785,1681
1542,0160
2992,0770
2159,0109
1150,1680
2908,0392
1869,1734
2569,0296
3108,1701
1378,0070
2691,1708
2355,0733
2302,1900
2645,0638
1360,0040
2152,0109
2473,0053
3238,0010
2154,0109
1426,0788
3277,0090
1667,0307
1463,0938
3380,0214
2860,0150
2672,0569
1272,0171
2938,0310
3577,0085
2185,0074
3118,0118
1818,0118
2688,1676
1059,0203
1682,1940
1682,1921
3150,0420
2803,0944
3227,0081
3187,1911
3445,0024
1775,0762
1116,0416
3344,0086
2709,1708
2190,0074
1832,0009
3087,0599
2539,0055
1926,0141
1979,0815
1161,1680
1633,1699
1301,0299
2728,1908
1493,0177
3023,0118
1819,0118
1211,0614
3160,1690
1487,0294
2041,1711
2764,0228
3350,0086
2102,0962
2233,0007
1835,0009
2183,0074
2466,0053
1321,1709
3111,1701
1896,1895
3460,0024
1759,0085
1546,0160
2013,0140
2620,0093
2578,1719
1587,1509
2583,0840
1084,0119
1372,0070
2541,0055
2771,0228
2831,0005
1140,0715
1175,1680
2134,1924
1164,1680
3107,1701
3048,0373
3176,0059
2306,1900
2012,0140
3075,0037
3430,1663
1720,0098
2710,1708
2305,1900
3291,0441
1393,1904
2501,1940
2501,1921
3317,0079
1841,0478
1469,0678
1601,0394
3171,1690
2146,0109
3148,0420
1371,0070
3233,0010
3245,0010
2657,1783
3106,1701
2132,1924
3363,0304
2070,0784
2852,0484
2361,0951
3288,0090
1159,1680
2019,0140
2387,1931
1731,0098
1125,0893
1097,1740
1777,0762
3351,0086
2730,1908
1578,1509
1712,0168
1556,0160
2262,0025
3605,0984
3476,1651
2017,0140
2435,1911
2244,0082
2018,0140
1761,0085
2415,1900
2920,1730
1359,0040
3615,0080
1657,1859
2605,0312
3635,0040
3635,0014
3567,0420
3144,1924
2500,1940
2500,1921
2807,1842
3326,1700
2260,0025
1334,0262
2250,0200
2529,0055
1306,0377
2491,0051
3228,0081
1669,0173
2983,0302
1422,1895
1290,0183
2926,1730
1278,0171
2085,1702
1540,0160
1061,0203
1357,0040
1733,0098
2951,1640
3415,1663
1852,1685
2107,0707
1109,0213
1404,0851
1298,0299
3166,1690
3516,0797
1774,0762
3575,1876
1353,0040
3455,0024
2828,0376
2796,0617
3239,0010
3209,1722
2521,1911
1640,1699
2208,1955
2522,1911
3289,0441
2886,0588
3050,0373
2941,1640
1349,0040
3321,1700
3265,1891
3203,1722
1886,0361
2680,1676
2490,0051
2490,0074
1560,0160
1166,1680
1417,1774
2905,0225
1985,1927
1888,0361
2413,1900
1407,1774
2273,0545
2346,0022
2184,0074
1781,1681
1218,0756
2574,1719
1233,1729
2288,0880
1326,1709
1224,0756
2341,0022
2955,1640
2076,0716
2851,0484
2632,0297
2024,0140
1135,0715
2798,0617
1511,0498
1642,1699
2396,0106
2300,0512
2856,0150
3469,0828
1564,0160
1768,0668
2845,0881
1762,0085
1126,1771
2484,1940
2484,1921
2484,0051
1822,0664
3489,0879
1651,1699
2582,0840
2753,0209
2101,0962
2324,1900
3089,0677
3098,0677
2269,0383
2619,0093
1721,0098
1213,1892
1831,0009
2401,1900
3232,0010
1168,1680
1859,1507
1314,1658
1403,0851
2034,0140
1385,1930
1219,0756
2836,0453
2397,0106
2775,0717
2830,0005
1001,0873
1124,0893
3181,0059
3013,1731
1572,1706
2360,0951
1363,0070
3550,0736
1186,1598
2419,1900
2470,0053
2899,0166
1858,1507
1481,0294
1730,0098
2455,0737
2702,1708
2084,1702
2046,1711
2388,1931
3343,0086
2261,0025
2042,1711
2633,0297
2384,0585
2403,1900
1763,0085
2008,0140
1975,0988
1367,0070
2170,0370
3094,0677
2218,0870
1044,0855
2210,1955
3022,1731
3120,1731
2915,1730
2663,1783
1288,0183
3005,1731
3423,1663
3349,0086
1683,0653
3515,0797
1421,1895
2215,0870
3153,0420
2985,0302
2829,0005
3562,0200
1728,0098
2976,0196
2238,0313
3491,0879
1798,1681
3241,0010
3223,0243
2945,1640
3292,0441
3446,0024
3020,1731
2602,1894
1246,1655
1258,0654
2414,1900
3263,0828
1839,0478
2292,0241
2292,1945
1160,1680
3480,1651
2195,0074
1631,0263
1454,1684
1281,0171
1809,1927
3079,0037
2630,0297
2056,0321
2385,0585
3057,0400
2009,0140
1538,0160
3042,1884
1133,0715
1470,0678
1991,0114
2221,1904
1209,0614
1479,0294
1875,1667
3236,0010
1261,0654
2340,0022
2706,1708
1650,1699
3634,1699
3356,0086
1341,0262
1976,0815
1569,1706
2239,0082
2094,1652
2214,0870
1545,0160
3274,1891
2038,0946
3172,1690
2519,1911
2336,0984
2080,1702
2404,1900
1866,1734
3334,0063
3180,0059
1648,1699
3633,1699
1555,0160
3323,0160
3300,0874
1531,1876
1705,0758
3255,0828
1595,0796
1344,0232
2157,0109
3196,0786
3257,0828
3298,0344
2108,0707
1439,1735
2621,0093
1923,1641
3192,1695
3591,1900
1410,1774
2162,0109
1046,0180
1294,0183
3018,1731
3315,0079
1559,0160
2790,0432
2820,0962
1800,1681
1771,0668
1557,0160
2625,0093
2216,1709
1801,1681
1262,0654
2581,0840
3105,1701
3112,1701
3116,1701
2349,0416
1120,0416
3099,0677
3124,1701
3358,0086
3126,1701
3616,0080
2321,1900
3159,0420
2813,1883
1203,0080
3368,0304
2538,0055
3434,0758
1765,0085
2902,0225
1132,0715
3195,0786
3264,0828
2520,1911
2343,0022
1276,0171
2623,0093
3493,0879
2835,0453
2129,0362
2129,0437
1754,0085
2595,1669
3224,0081
2441,0737
2611,0285
2264,0025
2106,0707
2099,0962
2651,0377
2711,1708
1155,1680
2959,0826
1149,1680
1309,0798
1325,1709
1890,0361
1740,0098
2608,0285
1423,1895
1726,0098
1614,0394
2973,1714
1451,1684
2953,1640
1526,1876
1304,0352
1723,0098
1794,1681
1590,1674
3307,0079
1388,1930
3589,0797
1130,0715
2692,1708
1641,0014
3064,1721
2446,0737
2693,1708
1247,1655
2319,1900
2568,0296
2203,1955
1446,1659
2258,0200
2254,0200
1958,0331
2634,0297
2366,1931
2057,0845
1398,0765
2723,1908
2857,0150
2695,1708
2232,0007
3199,1722
1856,0984
2193,0074
2275,0047
2275,0018
2275,1987
1242,0047
1242,0018
1242,1987
1252,0654
2823,0355
1249,1655
1089,0189
1729,0098
3327,1700
2628,0297
1630,0263
1517,1507
2598,0867
2850,0484
2433,1911
2855,0150
1118,0416
1940,0852
2809,1883
3157,0420
2639,0327
3243,0010
3146,1924
2840,0620
1212,1892
2021,0140
1081,0484
2330,0984
2274,0545
3466,0703
3566,0420
2760,0441
3571,0147
2175,0015
3328,0063
1434,0689
3479,1651
1620,0865
1772,0668
2323,1900
3590,0797
1185,1598
1340,0262
3500,0797
1447,1659
2774,0717
3387,0058
1876,1667
3304,0874
1943,0852
2032,0140
1812,0118
2065,1904
3560,0200
3443,1894
1722,0098
3267,1891
2924,1730
1195,0197
3297,0344
3054,0809
1502,0275
2739,0448
1928,0576
2526,0055
3595,0826
1547,0160
1408,1774
1945,0852
1952,0738
2216,0870
2236,0007
2265,0025
2280,1987
2363,0613
1799,1681
1171,1680
1167,1680
1176,1680
3096,0677
1437,0689
3628,1927
2105,0707
1867,1734
2866,0246
2989,0274
1308,0798
2607,0285
2553,0175
2556,0175
1083,0119
3183,0059
3015,1731
3210,1722
1370,0070
2925,1730
2922,1730
2911,1730
2369,0501
2916,1730
1072,0632
1210,0614
1267,0017
1970,1900
3330,0063
3206,1722
3284,0090
3314,0079
3311,0079
2516,1911
2370,0501
1375,0070
2320,1900
2178,0015
2031,0140
3283,0090
2436,1911
3348,0086
3271,1891
2733,1908
2124,0056
1303,0352
2402,1900
3603,0074
3603,0055
2533,0055
2534,1900
3281,0090
2028,0140
3313,0079
3354,0086
3285,0090
1045,0855
1671,0888
1853,0986
2230,1586
2984,0302
1480,0294
1056,0203
1994,0114
2717,1708
2123,0056
2847,0881
2479,0907
1861,0984
1090,0189
1892,0361
3302,0874
2211,1955
1865,1734
2445,0737
2443,0737
2442,0737
1379,1773
3522,0051
1787,1681
1553,0160
2229,1586
2678,1676
1254,0654
1989,0114
3474,1651
2871,0267
3607,0267
2826,0860
1332,0736
1419,1895
1284,0183
2345,0022
2212,1955
1348,0040
2342,0022
1499,0177
2314,1900
1386,1930
1825,0664
3484,1651
1074,0632
3364,0304
2978,0196
1957,0738
3477,1651
2614,0093
2504,0051
2192,0074
1549,0160
1295,0183
3352,0086
1567,1742
1415,1774
2036,0140
1411,1774
1169,1680
1291,0183
1584,1509
1629,0263
2661,1783
3531,0236
3530,0236
3381,0214
3378,0214
2561,0214
1345,0232
2357,0733
1915,0971
2272,0545
1216,0756
3044,0373
1806,1927
2714,1708
2615,0093
3576,0085
3312,0079
2196,0074
1732,0098
2189,0074
2707,1708
3421,1663
2222,1904
1727,0098
3353,0086
1680,0653
1734,0098
3600,0203
3325,1700
1919,1641
3258,0828
2334,0984
1286,0183
2641,0393
2071,0716
1956,0738
2483,0907
1909,0589
1507,0498
1110,0213
3517,0797
3518,0797
2988,0274
1521,1876
3115,1731
3014,1731
3447,0024
2376,1931
3376,0214
1107,0420
1380,1773
3189,1695
3482,1651
2246,0082
2072,0716
1098,1740
2963,1714
2783,0717
2126,0056
1978,0815
2081,1702
3071,0269
2746,0847
1776,0762
1834,0009
1430,0981
1561,0160
1383,1773
1513,0498
2585,0840
2079,1900
2646,0824
1248,1655
3151,0420
2331,0984
2434,1911
3152,0420
2091,1652
1473,0983
3536,0453
3261,0828
3262,0828
3422,1663
1817,0118
1049,0180
1208,0823
3155,0420
1627,0263
3588,1581
1354,0040
1842,0385
1220,0756
2125,0056
1752,0779
1750,0779
1877,1667
1221,0756
3040,1884
3546,1884
3490,0879
3086,0599
2981,0196
1222,0756
1851,1685
1563,0160
3324,0160
2298,0048
1830,0009
3623,0758
3454,0024
3198,0786
3139,0755
3426,1663
2389,1931
2867,0246
1181,1680
2000,0114
3456,0024
1606,0394
1833,0009
1592,1674
2580,1709
1327,1709
1117,0416
1948,0852
1390,1930
2969,1714
2464,0053
2879,0241
2879,1945
2023,0140
2026,0140
1670,0888
3622,0758
1366,0070
3391,0058
1575,1509
2380,0585
2662,1783
1823,0664
2206,1955
1265,0654
2721,1708
2469,0053
1103,0532
1358,0040
2761,0441
3028,1731
2799,0766
2919,1730
1026,1507
2460,0441
2880,0785
2296,0048
3058,0400
2390,1931
1025,0363
1256,0654
3074,0037
3032,1930
1053,0420
2318,1900
1239,0148
2325,1900
1566,1742
2912,1730
1811,0118
3457,0024
1342,0262
2763,0441
2917,1730
3123,1701
2658,1783
1755,0085
2808,1883
1174,1680
2616,0093
3019,1731
2948,1640
1969,1900
1663,1859
3024,0118
1820,0118
3418,1663
2669,0569
1685,0653
2892,0072
2738,0448
2822,0355
2467,0053
2372,0611
1495,0177
2153,0109
1007,0687
3488,0014
2994,0770
2160,0109
1554,0160
3556,0361
1565,0160
3528,0236
1847,0856
1610,0394
2289,0241
2289,1945
2277,1987
1333,0736
3133,1705
3190,1695
3470,0828
1602,0394
1898,1895
2997,0770
3388,0058
3185,1911
2889,0588
1617,0394
2878,0241
2878,1945
2729,1908
3547,0736
1002,0873
1279,0171
1939,0748
1636,1699
3453,0024
3095,0677
3360,0304
3136,1705
1660,1859
1113,0213
1780,1681
1339,0262
2768,0228
1845,0230
2228,1586
1791,1681
1457,1724
2510,1940
2510,1921
2510,0051
3069,0269
3093,0677
2127,0056
2666,1901
1016,1892
3254,0828
1193,0197
3121,1701
1773,0668
2121,0056
1459,1724
2696,1708
3382,0214
2429,0303
2740,0448
3235,0010
1612,0394
3478,1651
3279,0090
2891,0072
3467,0703
1271,0171
1223,0756
1452,1684
2635,0297
3399,0058
1490,1911
2114,0056
1190,1598
1156,1680
2326,1900
1392,1904
2001,0114
1753,0085
1351,0040
3184,0059
1918,1641
3140,0983
1022,0018
1714,0168
2241,0082
2416,1900
1586,1509
1900,1895
2965,1714
1615,0394
1744,0098
1887,0361
2086,1702
2579,1719
1187,1598
2732,1908
2699,1708
2551,0175
2405,1900
2686,1676
1871,1734
1316,1658
1971,1900
3549,0736
3278,0090
1591,1674
2294,0048
1102,0532
2918,1730
2812,1883
3468,0828
1988,0114
2227,1586
2362,0613
1588,1674
2078,0716
3215,0236
1277,0171
1361,0040
3033,1930
2872,0241
2872,1945
3594,0363
1916,1641
2921,1730
2224,1586
3512,1883
1699,1894
1968,1900
2567,0296
3130,1705
1684,0653
1504,0275
3217,0236
1717,0994
2047,1711
1497,0177
3216,0236
2968,1714
2410,1900
3252,0828
1965,1900
2636,0297
1194,0197
1396,0301
3513,1883
3242,0010
1471,1895
1837,0385
2794,1927
1139,0715
1993,0114
1293,0183
2560,0281
3377,0281
2802,0252
3114,1701
3397,0058
2745,0847
2417,1900
1070,0014
2180,0015
2971,1714
2398,0642
1019,0018
3156,0420
1414,1774
2846,0881
1114,0213
1317,1709
1323,1709
2816,1883
1319,1709
3122,1701
1747,0385
3046,0373
2587,0060
2476,1901
3163,1690
2359,0951
3240,0010
1494,0177
1653,1699
1389,1930
1313,0917
1551,0160
2896,0166
3131,1705
3117,1701
3072,0269
1921,1641
1527,1876
1251,0654
1951,0738
2465,0053
1004,0873
1622,1916
2689,1676
2854,0150
1134,0715
3088,0677
2716,1708
2704,1708
2199,1896
2713,1708
3587,1581
1008,0687
2198,1896
1824,0664
1944,0852
3525,1904
1476,0983
3533,0377
2853,0484
1688,1621
1687,1621
2665,1901
3534,0392
3534,0393
2756,0441
3565,0420
2795,1927
3450,0024
2381,0585
3143,1924
1444,1735
1689,1621
2726,1908
3389,0058
2998,0484
3390,0058
1748,0385
3552,0375
2377,1924
2075,0716
1715,0168
3137,1705
1983,1927
2966,1714
1330,0415
2225,1586
2383,0585
2004,1525
2931,1924
3201,1722
2158,0160
1816,0160
2350,0361
1530,1876
1962,0331
2601,1894
3402,0058
3366,0304
2020,0140
2064,1904
2589,0060
2506,0051
1153,1680
3537,1696
1644,1699
2750,0209
2603,0312
3037,1884
2475,0053
2910,0017
2910,1730
3182,0059
3026,1731
1307,0798
3186,1911
1374,0070
1600,0394
1523,1876
2393,0106
2906,0225
2188,0074
1570,1706
3100,0677
3599,0203
3442,1894
3392,0058
2617,0093
3134,1705
1882,0479
1449,1684
2677,1676
2961,1714
1589,1674
1241,0047
1489,1911
3109,1701
1840,0478
1805,1927
1846,0230
1029,1507
2109,0707
1608,0394
2374,1931
1141,1926
1652,1699
3147,0420
1618,0394
2659,1783
2089,1652
2518,1911
2285,0880
2952,1640
2570,0296
3259,0828
2194,0074
